rproj_fit_mult,vproj_fit_mult,vproj_fit_offset,gd_rproj_fit_mult,gd_vproj_fit_mult,gd_vproj_fit_offset,mu_HME,mu_HME_dyn,mu_HME_HAMngt7,P_G,C_G,P_H,C_H,mu_HME_dw,P_G_dw,C_G_dw,P_H_dw,C_H_dw,P_G_dwgt1,C_G_dwgt1,P_H_dwgt1,C_H_dwgt1,mu_HME_dwgt1,n_dwgroups,n_Ngt1dwgroups
3,4,200,6,2,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,3,0,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.9854081413326633,0.9318248881624966,0.9275998777193603,0.9770676929605625,0.16500000000000092,0.9945347072449876,0.943889027388263,0.9830362883836172,0.9708778505798186,0.921948437143509,0.966746520647958,0.8516718426501035,0.9691183574879226,0.18509006697196553,6955,487
3,4,200,6,3,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,3,200,0.1629999999999991,0.3420153021630324,0.22199999999999953,0.9852022656669222,0.9338682616259327,0.9271574487845079,0.9781000271418845,0.16500000000000092,0.9942993635678674,0.9465803182059398,0.9824504653021878,0.9722447711031538,0.921604938271605,0.9724977954144621,0.8501867609459891,0.9741214578672632,0.18609006697196626,6931,504
3,4,200,6,3,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,4,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.98524920436806,0.9333563957780783,0.9272680560182209,0.9778235090576017,0.16500000000000092,0.9943523457146061,0.9459057496735431,0.9825969210725451,0.9718786316772604,0.9214874192830104,0.9712202182142062,0.8503581517352704,0.9730108286252355,0.1880000000000006,6937,499
3,4,200,6,4,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,4,200,0.1629999999999991,0.3420153021630324,0.22199999999999953,0.9852022656669222,0.9338682616259327,0.9271574487845079,0.9781000271418845,0.16500000000000092,0.9942993635678674,0.9465803182059398,0.9824504653021878,0.9722447711031538,0.921604938271605,0.9724977954144621,0.8501867609459891,0.9741214578672632,0.18609006697196626,6931,504
3,4,200,6,4,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,5,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9852039120548096,0.9337643599501845,0.9271574487845079,0.9780447235250279,0.16500000000000092,0.9943001859331922,0.9464437659384548,0.9824504653021878,0.9721715432179752,0.9214490832781091,0.9724431190633974,0.8499349739895958,0.9740779645191411,0.1869999999999994,6932,503
3,4,200,6,5,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,5,200,0.1629999999999991,0.3420153021630324,0.22199999999999953,0.9852022656669222,0.9338682616259327,0.9271574487845079,0.9781000271418845,0.16500000000000092,0.9942993635678674,0.9465803182059398,0.9824504653021878,0.9722447711031538,0.921604938271605,0.9724977954144621,0.8501867609459891,0.9741214578672632,0.18609006697196626,6931,504
3,4,200,6,5,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,6,0,0.1629999999999991,0.3420153021630324,0.22199999999999953,0.9852022656669222,0.9338682616259327,0.9271574487845079,0.9781000271418845,0.16500000000000092,0.9942993635678674,0.9465803182059398,0.9824504653021878,0.9722447711031538,0.921604938271605,0.9724977954144621,0.8501867609459891,0.9741214578672632,0.18609006697196626,6931,504
3,4,200,6,6,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,6,6,200,0.1629999999999991,0.3420153021630324,0.22199999999999953,0.9852022656669222,0.9338682616259327,0.9271574487845079,0.9781000271418845,0.16500000000000092,0.9942993635678674,0.9465803182059398,0.9824504653021878,0.9722447711031538,0.921604938271605,0.9724977954144621,0.8501867609459891,0.9741214578672632,0.18609006697196626,6931,504
3,4,200,6,6,300,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9852246887245167,0.9338829755514805,0.9273786632519342,0.9781000271418845,0.16500000000000092,0.9943250476785743,0.9465957284704123,0.9825998653560842,0.9722488354213406,0.9220902090209021,0.9725522552255226,0.8518646132949824,0.9741214578672632,0.1869999999999994,6933,505
3,4,200,7,1,0,0.16300000000000026,0.3420153021630324,0.22199999999999953,0.9862374433089196,0.91378828776245,0.9290930753744868,0.9674817327054285,0.16499999999999915,0.9953561213703911,0.9203387687211392,0.9850134412834415,0.9581850171488481,0.8936075498575499,0.9423076923076923,0.8153457903780068,0.9439969931271477,0.18799999999999883,7148,312
3,4,200,7,1,100,0.16300000000000026,0.3416090276552065,0.22199999999999953,0.9837359486057031,0.9355141494949419,0.9246872205649158,0.9788742777778761,0.16499999999999915,0.9924501217722295,0.9487949173298547,0.9790366301337481,0.9732738756907798,0.904391339869281,0.9665543300653594,0.8298760969644655,0.9711627223900637,0.1880000000000006,6889,544
3,4,200,7,1,200,0.16299999999999848,0.3420153021630324,0.22199999999999953,0.983713082285806,0.9354997279696138,0.9244660060974896,0.9788742777778761,0.16499999999999915,0.9924237290870077,0.9487800472608346,0.9788867082234923,0.9732699614956554,0.9039083282177204,0.9664927358297524,0.8283655229463386,0.9711627223900637,0.18759006697196637,6887,543
