15.615  1.4907e-09  8.8429e-11  10.9777
15.614  1.5141e-09  8.9943e-11  10.9632
15.613  1.5377e-09  9.1480e-11  10.9488
15.612  1.5618e-09  9.3042e-11  10.9343
15.611  1.5861e-09  9.4628e-11  10.9199
15.610  1.6108e-09  9.6239e-11  10.9056
15.609  1.6359e-09  9.7875e-11  10.8912
15.608  1.6613e-09  9.9536e-11  10.8769
15.607  1.6870e-09  1.0122e-10  10.8626
15.606  1.7131e-09  1.0294e-10  10.8483
15.605  1.7396e-09  1.0468e-10  10.8340
15.604  1.7665e-09  1.0644e-10  10.8198
15.603  1.7937e-09  1.0824e-10  10.8056
15.602  1.8213e-09  1.1006e-10  10.7914
15.601  1.8492e-09  1.1191e-10  10.7772
15.600  1.8776e-09  1.1378e-10  10.7631
15.599  1.9064e-09  1.1569e-10  10.7489
15.598  1.9355e-09  1.1763e-10  10.7348
15.597  1.9651e-09  1.1959e-10  10.7208
15.596  1.9951e-09  1.2159e-10  10.7067
15.595  2.0254e-09  1.2361e-10  10.6927
15.594  2.0562e-09  1.2567e-10  10.6787
15.593  2.0874e-09  1.2776e-10  10.6647
15.592  2.1191e-09  1.2987e-10  10.6507
15.591  2.1512e-09  1.3203e-10  10.6368
15.590  2.1837e-09  1.3421e-10  10.6228
15.589  2.2166e-09  1.3643e-10  10.6089
15.588  2.2500e-09  1.3868e-10  10.5950
15.587  2.2839e-09  1.4096e-10  10.5812
15.586  2.3182e-09  1.4328e-10  10.5674
15.585  2.3530e-09  1.4563e-10  10.5536
15.584  2.3882e-09  1.4802e-10  10.5398
15.583  2.4239e-09  1.5044e-10  10.5260
15.582  2.4505e-09  1.5289e-10  10.5170
15.581  2.4870e-09  1.5538e-10  10.5033
15.580  2.5239e-09  1.5790e-10  10.4896
15.579  2.5614e-09  1.6047e-10  10.4760
15.578  2.5993e-09  1.6307e-10  10.4624
15.577  2.6378e-09  1.6570e-10  10.4488
15.576  2.6768e-09  1.6838e-10  10.4352
15.575  2.7163e-09  1.7110e-10  10.4216
15.574  2.7563e-09  1.7385e-10  10.4081
15.573  2.7968e-09  1.7665e-10  10.3946
15.572  2.8379e-09  1.7949e-10  10.3811
15.571  2.8795e-09  1.8237e-10  10.3676
15.570  2.9217e-09  1.8529e-10  10.3541
15.569  2.9644e-09  1.8825e-10  10.3407
15.568  3.0077e-09  1.9126e-10  10.3273
15.567  3.0516e-09  1.9431e-10  10.3139
15.566  3.0960e-09  1.9741e-10  10.3005
15.565  3.1410e-09  2.0055e-10  10.2872
15.564  3.1866e-09  2.0374e-10  10.2739
15.563  3.2328e-09  2.0697e-10  10.2605
15.562  3.2796e-09  2.1025e-10  10.2473
15.561  3.3270e-09  2.1358e-10  10.2340
15.560  3.3750e-09  2.1695e-10  10.2208
15.559  3.4237e-09  2.2037e-10  10.2075
15.558  3.4730e-09  2.2385e-10  10.1943
15.557  3.5229e-09  2.2737e-10  10.1811
15.556  3.5734e-09  2.3094e-10  10.1680
15.555  3.6246e-09  2.3457e-10  10.1548
15.554  3.6765e-09  2.3824e-10  10.1417
15.553  3.7290e-09  2.4197e-10  10.1286
15.552  3.7822e-09  2.4576e-10  10.1155
15.551  3.8361e-09  2.4959e-10  10.1025
15.550  3.8907e-09  2.5348e-10  10.0894
15.549  3.9459e-09  2.5743e-10  10.0764
15.548  4.0019e-09  2.6143e-10  10.0634
15.547  4.0586e-09  2.6549e-10  10.0504
15.546  4.1160e-09  2.6960e-10  10.0375
15.545  4.1741e-09  2.7378e-10  10.0245
15.544  4.2330e-09  2.7801e-10  10.0116
15.543  4.2926e-09  2.8230e-10   9.9987
15.542  4.3529e-09  2.8666e-10   9.9859
15.541  4.4140e-09  2.9107e-10   9.9730
15.540  4.4760e-09  2.9555e-10   9.9602
15.539  4.5386e-09  3.0009e-10   9.9473
15.538  4.6021e-09  3.0469e-10   9.9345
15.537  4.6663e-09  3.0935e-10   9.9218
15.536  4.7314e-09  3.1409e-10   9.9090
15.535  4.7973e-09  3.1888e-10   9.8963
15.534  4.8639e-09  3.2375e-10   9.8836
15.533  4.9315e-09  3.2868e-10   9.8708
15.532  4.9998e-09  3.3368e-10   9.8582
15.531  5.0690e-09  3.3875e-10   9.8455
15.530  5.1391e-09  3.4389e-10   9.8329
15.529  5.2100e-09  3.4910e-10   9.8202
15.528  5.2818e-09  3.5438e-10   9.8076
15.527  5.3545e-09  3.5973e-10   9.7951
15.526  5.4281e-09  3.6516e-10   9.7825
